,DATE,TIME,OBM,TU,WD,WG,WS,SI
0,01/01/2014,00:00,30.02,83.7,58.81,5.92,1.93,0.0
1,01/01/2014,01:00,29.25,81.8,254.6,6.36,2.67,0.0
2,01/01/2014,02:00,27.53,80.8,41.77,6.79,4.2,0.0
3,01/01/2014,03:00,30.25,67.56,2.07,14.03,9.25,0.0
4,01/01/2014,04:00,30.62,68.57,20.3,12.71,9.05,0.0
5,01/01/2014,05:00,29.54,71.13,20.41,10.96,7.04,0.0
6,01/01/2014,06:00,28.3,70.75,308.3,7.23,3.92,0.0
7,01/01/2014,07:00,26.67,78.23,258.0,6.14,2.27,0.0
8,01/01/2014,08:00,26.63,78.38,76.52,3.95,1.28,0.02
9,01/01/2014,09:00,30.05,64.43,319.4,10.08,4.88,2.4
10,01/01/2014,10:00,30.19,69.67,156.1,6.14,3.0,6.64
11,01/01/2014,11:00,33.99,56.07,232.8,6.58,3.57,15.16
12,01/01/2014,12:00,35.14,54.6,77.53,7.67,4.04,27.3
13,01/01/2014,13:00,37.27,46.19,86.6,7.45,3.69,35.17
14,01/01/2014,14:00,36.53,50.17,79.01,10.74,6.87,27.56
15,01/01/2014,15:00,36.89,49.04,60.36,9.21,6.05,20.5
16,01/01/2014,16:00,32.94,57.19,25.27,7.01,4.4,4.42
17,01/01/2014,17:00,30.21,65.44,295.6,4.38,2.31,0.42
18,01/01/2014,18:00,26.22,73.27,296.3,6.36,3.88,0.0
19,01/01/2014,19:00,25.16,76.74,277.5,5.04,2.39,0.0
20,01/01/2014,20:00,24.05,79.75,259.8,5.92,3.35,0.0
21,01/01/2014,21:00,25.68,84.6,207.0,6.79,4.43,0.0
22,01/01/2014,22:00,24.85,82.6,220.5,5.26,2.5,0.0
23,01/01/2014,23:00,25.14,84.6,209.3,2.19,0.72,0.0
24,01/02/2014,00:00,25.38,83.1,281.5,5.48,4.32,0.0
25,01/02/2014,01:00,25.34,85.2,274.0,4.6,2.47,0.0
26,01/02/2014,02:00,24.3,84.0,216.8,3.07,1.41,0.0
27,01/02/2014,03:00,24.21,83.1,135.4,3.51,1.5,0.0
28,01/02/2014,04:00,23.94,84.3,252.5,4.38,2.91,0.0
29,01/02/2014,05:00,23.92,85.9,135.1,3.51,1.05,0.0
30,01/02/2014,06:00,23.44,86.3,205.1,5.7,3.99,0.0
31,01/02/2014,07:00,22.79,83.6,279.2,5.92,4.11,0.0
32,01/02/2014,08:00,23.23,82.7,92.2,3.51,1.69,0.01
33,01/02/2014,09:00,25.15,75.49,36.6,3.73,2.02,2.91
34,01/02/2014,10:00,25.29,81.0,31.75,8.77,5.85,7.77
35,01/02/2014,11:00,30.51,65.08,45.4,2.85,1.42,14.68
36,01/02/2014,12:00,37.19,46.26,222.7,4.6,1.89,24.24
37,01/02/2014,13:00,35.62,54.13,34.48,10.74,5.86,18.34
38,01/02/2014,14:00,36.2,52.84,30.7,9.64,6.85,13.27
39,01/02/2014,15:00,43.43,34.61,167.7,26.96,17.45,20.92
40,01/02/2014,16:00,43.85,36.98,183.8,25.43,16.65,14.53
41,01/02/2014,17:00,41.45,40.33,177.3,31.13,20.95,0.64
42,01/02/2014,18:00,39.63,44.54,179.9,24.11,14.98,0.0
43,01/02/2014,19:00,40.15,46.27,167.8,26.96,11.74,0.0
44,01/02/2014,20:00,41.4,47.61,127.8,21.48,9.42,0.0
45,01/02/2014,21:00,41.54,50.21,190.6,25.65,14.7,0.0
46,01/02/2014,22:00,41.5,47.1,175.5,30.69,21.68,0.0
47,01/02/2014,23:00,41.63,47.68,167.4,25.21,15.86,0.0
48,01/03/2014,00:00,41.16,48.48,179.9,31.35,19.31,0.0
49,01/03/2014,01:00,41.77,48.19,178.0,36.83,26.29,0.0
50,01/03/2014,02:00,42.6,46.93,165.4,42.96,29.01,0.01
51,01/03/2014,03:00,43.49,47.47,174.2,39.89,24.81,0.01
52,01/03/2014,04:00,43.89,47.07,186.9,32.88,15.33,0.0
53,01/03/2014,05:00,44.47,54.85,244.4,28.28,14.91,0.0
54,01/03/2014,06:00,40.41,72.87,239.8,26.08,15.91,0.0
55,01/03/2014,07:00,40.34,63.43,249.9,27.4,19.13,0.01
56,01/03/2014,08:00,37.79,70.98,259.4,25.87,16.03,0.01
57,01/03/2014,09:00,35.41,69.83,205.5,15.78,5.68,1.85
58,01/03/2014,10:00,36.42,51.93,277.2,16.66,4.55,7.46
59,01/03/2014,11:00,32.35,71.89,325.7,21.04,12.24,14.18
60,01/03/2014,12:00,35.53,50.35,283.2,30.91,14.82,31.03
61,01/03/2014,13:00,36.87,32.56,283.9,35.95,20.94,33.66
62,01/03/2014,14:00,36.23,33.4,304.5,31.13,16.84,31.02
63,01/03/2014,15:00,34.52,39.82,313.9,24.55,13.66,18.41
64,01/03/2014,16:00,31.39,61.24,41.25,20.82,11.63,7.55
65,01/03/2014,17:00,27.69,79.58,23.59,20.82,13.14,0.27
66,01/03/2014,18:00,26.82,82.3,42.09,14.91,9.52,0.0
67,01/03/2014,19:00,26.65,82.1,29.89,10.96,7.59,0.0
