,PUBID8   ,REGION8  ,CENDIV8  ,SQFT8    ,SQFTC8   ,YRCONC8  ,PBA8     ,ELUSED8  ,NGUSED8  ,FKUSED8  ,PRUSED8  ,STUSED8  ,HWUSED8  ,ADJWT8   ,STRATUM8 ,PAIR8    ,ELHTBTU8 ,ELCLBTU8 ,ELVNBTU8 ,ELWTBTU8 ,ELLTBTU8 ,ELCKBTU8 ,ELRFBTU8 ,ELOFBTU8 ,ELPCBTU8 ,ELMSBTU8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
0,1,3,5,14000,4,8,5,1,1,2,2.0,2,2,734.43,23,2,0.0,15549.0,8458.0,6724.0,133747.0,0.0,12634.0,7914.0,3266.0,13223.0
1,3,3,5,190000,7,4,2,1,2,1,2.0,2,2,80.65,23,1,2241929.0,2332453.0,1077319.0,354974.0,7092965.0,0.0,301380.0,669302.0,3099250.0,1817400.0
2,5,4,9,25000,4,5,12,1,1,2,2.0,2,2,950.84,62,2,326.0,6443.0,11670.0,0.0,14199.0,0.0,0.0,0.0,0.0,48666.0
3,6,3,6,55000,6,4,2,1,2,2,2.0,1,2,274.46,29,2,0.0,333340.0,386764.0,18032.0,935010.0,0.0,133579.0,463295.0,125277.0,420019.0
4,8,1,2,19000,4,4,14,1,2,1,2.0,2,2,446.21,7,1,0.0,42863.0,116447.0,0.0,173002.0,9685.0,23984.0,2696.0,46900.0,28517.0
5,9,4,8,110000,7,5,14,1,2,2,2.0,1,2,22.68,107,2,0.0,0.0,4641961.0,0.0,2609946.0,0.0,330402.0,21415.0,674165.0,873133.0
6,10,3,5,600000,9,1,16,1,1,1,2.0,1,2,18.98,25,2,0.0,7075144.0,9243281.0,0.0,17432232.0,191839.0,241523.0,31210.0,225041.0,4162970.0
7,11,2,3,6300,3,4,18,1,1,2,2.0,2,2,352.05,13,1,0.0,25301.0,8175.0,0.0,114291.0,0.0,24910.0,77.0,0.0,37480.0
8,12,3,5,18000,4,6,2,1,2,2,2.0,2,2,808.04,21,2,129342.0,108139.0,35781.0,23170.0,358565.0,0.0,0.0,127042.0,166949.0,188327.0
9,13,2,4,4800,2,5,15,1,1,2,2.0,2,2,1528.98,17,1,0.0,35281.0,54043.0,99469.0,144210.0,76988.0,226033.0,8158.0,12133.0,49850.0
10,14,1,2,65000,6,5,2,1,1,2,2.0,2,2,221.72,8,1,0.0,342978.0,342123.0,83211.0,767767.0,0.0,130929.0,187399.0,190889.0,450176.0
11,15,4,8,14250,4,4,18,1,1,2,2.0,2,2,446.21,39,1,0.0,0.0,10670.0,0.0,60091.0,5901.0,10236.0,0.0,12622.0,27867.0
12,16,2,3,20000,4,5,23,1,1,2,,2,2,864.37,12,1,0.0,93474.0,151568.0,0.0,732201.0,0.0,119258.0,19845.0,28257.0,205837.0
13,17,1,1,164000,7,5,14,1,2,1,1.0,2,2,137.78,3,1,309119.0,261471.0,1314978.0,182156.0,2112876.0,57419.0,123548.0,63043.0,286726.0,169066.0
14,18,4,8,2050,2,2,23,1,1,2,,2,2,742.06,37,2,0.0,9077.0,8453.0,13221.0,77176.0,0.0,12570.0,2092.0,2978.0,21623.0
15,19,2,3,106000,7,7,5,1,1,2,2.0,2,2,38.21,12,1,1021054.0,881919.0,159056.0,175354.0,2186414.0,0.0,188276.0,84008.0,270259.0,514458.0
16,20,1,2,148000,7,3,14,1,1,2,2.0,2,2,137.73,7,1,0.0,71250.0,727770.0,161937.0,2102840.0,0.0,86110.0,24840.0,270027.0,113935.0
17,21,2,3,12500,4,6,12,1,2,2,2.0,2,2,2724.37,13,2,57701.0,9698.0,3718.0,71.0,15471.0,0.0,0.0,3378.0,830.0,62025.0
18,22,3,5,3350,2,8,26,1,2,2,1.0,2,2,2546.83,21,1,12084.0,8347.0,8142.0,149.0,20397.0,0.0,0.0,0.0,779.0,37435.0
19,23,2,3,15250,4,8,23,1,1,2,,2,2,192.92,13,1,428637.0,59366.0,84740.0,70935.0,414072.0,0.0,67442.0,11222.0,15980.0,117017.0
20,24,2,4,12750,4,3,2,1,1,2,2.0,2,2,402.35,19,2,0.0,95098.0,35749.0,0.0,186383.0,0.0,49819.0,20634.0,54685.0,67200.0
21,25,3,5,17500,4,6,12,1,1,2,2.0,2,2,734.43,23,2,15613.0,85872.0,28110.0,3684.0,32158.0,11240.0,66734.0,4736.0,2187.0,135257.0
