,smb_ts
0,0.02
1,0.02
2,0.02
3,0.15
4,0.02
5,0.02
6,0.04
7,0.23
8,0.03
9,0.02
10,0.02
11,0.16
12,0.02
13,0.02
14,0.02
15,0.22
16,0.08
17,0.02
18,0.02
19,0.16
20,0.02
21,0.01
22,0.02
23,0.1
24,0.16
25,0.04
26,0.02
27,0.02
28,0.15
29,0.02
30,0.02
31,0.02
32,0.19
33,0.09
34,0.02
35,0.02
36,0.15
37,0.02
38,0.02
39,0.02
40,0.16
41,0.08
42,0.06
43,0.02
44,0.05
45,0.12
46,0.02
47,0.01
48,0.02
49,0.17
50,0.1
51,0.02
52,0.02
53,0.16
54,0.02
55,0.01
56,0.02
57,0.03
58,0.21
59,0.06
60,0.02
61,0.02
62,0.16
63,0.02
64,0.02
65,0.02
66,0.1
67,0.18
68,0.02
69,0.02
70,0.02
71,0.16
72,0.02
73,0.02
74,0.03
75,0.22
76,0.06
77,0.02
78,0.02
79,0.02
80,0.16
81,0.02
82,0.02
83,0.09
84,0.19
85,0.02
86,0.01
87,0.02
88,0.1
89,0.08
90,0.02
91,0.08
92,0.06
93,0.16
94,0.02
95,0.02
96,0.02
97,0.16
98,0.02
99,0.06
100,0.08
101,0.02
102,0.16
103,0.02
104,0.02
105,0.02
106,0.16
107,0.05
108,0.1
109,0.02
110,0.14
111,0.04
112,0.02
113,0.02
114,0.02
115,0.16
116,0.11
117,0.03
118,0.02
119,0.16
120,0.02
121,0.02
122,0.02
123,0.16
124,0.1
125,0.04
126,0.01
127,0.06
128,0.12
129,0.02
130,0.02
131,0.02
132,0.21
133,0.07
134,0.02
135,0.02
136,0.16
137,0.02
138,0.02
139,0.02
140,0.03
141,0.25
142,0.02
143,0.02
144,0.02
145,0.16
146,0.02
147,0.02
148,0.03
149,0.22
150,0.04
151,0.02
152,0.02
153,0.02
154,0.15
155,0.02
156,0.02
157,0.11
158,0.17
159,0.02
160,0.02
161,0.02
162,0.07
163,0.11
164,0.02
165,0.09
166,0.05
167,0.15
168,0.02
169,0.02
170,0.01
171,0.16
172,0.02
173,0.08
174,0.05
175,0.1
176,0.08
177,0.02
178,0.01
179,0.02
180,0.16
181,0.08
182,0.06
183,0.02
184,0.16
185,0.02
186,0.02
187,0.02
188,0.08
189,0.14
190,0.08
191,0.02
192,0.02
193,0.16
194,0.02
195,0.02
196,0.02
197,0.2
198,0.09
199,0.02
200,0.02
201,0.02
202,0.16
203,0.02
204,0.02
205,0.02
206,0.24
207,0.03
208,0.02
209,0.02
210,0.12
211,0.06
212,0.02
213,0.02
214,0.08
215,0.2
216,0.02
217,0.02
218,0.02
219,0.16
220,0.02
221,0.02
222,0.06
223,0.15
224,0.09
225,0.02
226,0.06
227,0.36
228,0.53
229,1.73
230,0.39
231,0.41
232,0.47
233,0.74
234,0.3
235,0.28
236,0.41
237,0.65
238,0.2
239,0.32
240,0.64
241,0.38
242,0.22
243,0.2
244,0.25
245,0.64
246,0.71
247,0.3
248,0.26
249,0.24
250,0.79
251,0.21
252,0.37
253,0.59
254,0.2
255,0.43
256,0.65
257,0.2
258,0.18
259,0.26
260,0.06
261,0.05
262,0.04
263,0.12
264,0.22
265,0.04
266,0.04
267,0.05
268,0.18
269,0.05
270,0.04
271,0.08
272,0.25
273,0.04
274,0.04
275,0.05
276,0.12
277,0.1
278,0.05
279,0.06
280,0.12
281,0.19
282,0.04
283,0.05
284,0.05
285,0.18
286,0.05
287,0.04
288,0.13
289,0.21
290,0.04
291,0.04
292,0.05
293,0.07
294,0.16
295,0.05
296,0.09
297,0.1
298,0.18
